Source,Target,Type,Id,Label,timeset,Weight
1428,3291,Undirected,28727,,,1
502,704,Undirected,28762,,,1
2867,3178,Undirected,28888,,,1
1428,1839,Undirected,28947,,,1
502,376,Undirected,29542,,,1
1428,623,Undirected,29805,,,1
2194,2858,Undirected,29870,,,1
1428,1730,Undirected,29913,,,1
3620,1279,Undirected,30115,,,1
2271,1279,Undirected,30123,,,1
1428,1082,Undirected,30310,,,1
1428,2070,Undirected,30375,,,1
1428,3167,Undirected,30600,,,1
1428,1878,Undirected,30684,,,1
671,1781,Undirected,30723,,,1
3158,898,Undirected,30795,,,1
640,3778,Undirected,30799,,,1
502,3778,Undirected,30802,,,1
1428,2839,Undirected,30821,,,1
2271,1473,Undirected,30863,,,1
2224,1638,Undirected,30903,,,1
1675,3608,Undirected,30976,,,1
1331,3608,Undirected,30982,,,1
1428,3608,Undirected,31015,,,1
1385,3535,Undirected,31419,,,1
2194,2914,Undirected,31512,,,1
640,858,Undirected,31583,,,1
1428,2366,Undirected,31593,,,1
2016,1036,Undirected,31694,,,1
250,276,Undirected,31714,,,1
3438,2176,Undirected,31724,,,1
2271,2866,Undirected,31858,,,1
502,3425,Undirected,31946,,,1
3371,1880,Undirected,32222,,,1
640,2043,Undirected,32253,,,1
502,2043,Undirected,32318,,,1
2271,743,Undirected,32526,,,1
1428,2210,Undirected,32568,,,1
1428,909,Undirected,32620,,,1
3438,1004,Undirected,32642,,,1
1207,1902,Undirected,32664,,,1
1428,918,Undirected,32690,,,1
502,1909,Undirected,32789,,,1
640,1909,Undirected,32849,,,1
2271,980,Undirected,32888,,,1
3071,3526,Undirected,32972,,,1
1428,2144,Undirected,33129,,,1
1247,3008,Undirected,33185,,,1
671,1651,Undirected,33526,,,1
640,2236,Undirected,33612,,,1
3371,2236,Undirected,33648,,,1
502,2236,Undirected,33650,,,1
2542,217,Undirected,33806,,,1
2271,2325,Undirected,33891,,,1
640,2325,Undirected,33895,,,1
3371,724,Undirected,34096,,,1
502,724,Undirected,34103,,,1
1428,724,Undirected,34115,,,1
2194,724,Undirected,34116,,,1
640,724,Undirected,34136,,,1
2271,2129,Undirected,34222,,,1
3620,2698,Undirected,34397,,,1
2271,1886,Undirected,34469,,,1
1428,385,Undirected,34543,,,1
1428,3001,Undirected,34578,,,1
1428,236,Undirected,34710,,,1
2271,285,Undirected,34759,,,1
2271,840,Undirected,34767,,,1
502,2139,Undirected,34871,,,1
2271,2139,Undirected,34885,,,1
3620,1619,Undirected,34900,,,1
2271,1623,Undirected,34928,,,1
2271,1485,Undirected,35149,,,1
640,1006,Undirected,35460,,,1
2194,1006,Undirected,35472,,,1
2271,1006,Undirected,35475,,,1
3172,2275,Undirected,35503,,,1
1877,2303,Undirected,35698,,,1
2271,967,Undirected,35795,,,1
3371,967,Undirected,35814,,,1
1877,2705,Undirected,35827,,,1
2867,2547,Undirected,35850,,,1
2338,1085,Undirected,35885,,,1
3320,3270,Undirected,35989,,,1
3371,1753,Undirected,36027,,,1
640,1753,Undirected,36038,,,1
502,1753,Undirected,36042,,,1
2271,3676,Undirected,36295,,,1
1428,468,Undirected,36352,,,1
640,3841,Undirected,36370,,,1
640,670,Undirected,36400,,,1
3371,670,Undirected,36421,,,1
502,670,Undirected,36424,,,1
1395,2079,Undirected,36428,,,1
671,311,Undirected,36461,,,1
3158,1506,Undirected,36672,,,1
3620,1506,Undirected,36685,,,1
1428,2997,Undirected,36745,,,1
1428,3544,Undirected,36771,,,1
447,446,Undirected,36867,,,1
1331,580,Undirected,36959,,,1
1428,3413,Undirected,37013,,,1
3320,408,Undirected,37158,,,1
640,196,Undirected,37334,,,1
502,196,Undirected,37335,,,1
3371,196,Undirected,37349,,,1
640,626,Undirected,37446,,,1
2016,626,Undirected,37465,,,1
2271,626,Undirected,37483,,,1
502,626,Undirected,37497,,,1
502,816,Undirected,37593,,,1
640,816,Undirected,37596,,,1
1428,3671,Undirected,37598,,,1
671,224,Undirected,37644,,,1
447,1798,Undirected,37743,,,1
3724,3628,Undirected,37751,,,1
447,3893,Undirected,37792,,,1
2271,2362,Undirected,37892,,,1
3158,2362,Undirected,37908,,,1
640,2158,Undirected,37990,,,1
2271,2158,Undirected,37991,,,1
3371,2158,Undirected,37999,,,1
210,40,Undirected,38039,,,1
640,2286,Undirected,38085,,,1
2016,2286,Undirected,38092,,,1
502,2286,Undirected,38100,,,1
640,2415,Undirected,38128,,,1
